Title,Release Date,Color/B&W,Genre,Language,Country,Rating,Lead Actor,Director Name,Lead Actor FB Likes,Cast FB Likes,Director FB Likes,Movie FB Likes,IMDb Score (1-10), Total Reviews ,Duration (min),Gross Revenue,Budget
The Statement,5/21/2003,Black and White,Drama,English,Canada,R,Charlotte Rampling,Norman Jewison,844,3286,278,188,6.2,54,120,763044,23000000
The Station Agent,9/14/2003,Color,Comedy,English,USA,R,Peter Dinklage,Tom McCarthy,22000,24419,310,0,7.7,154,89,5739376,500000
The Triplets of Belleville,3/13/2003,Color,Animation,French,France,PG-13,Michel Robin,Sylvain Chomet,23,29,162,0,7.8,167,80,7002255,9500000
The Visual Bible: The Gospel of John,5/18/2003,Color,Biography,English,Canada,PG-13,Henry Ian Cusick,Philip Saville,866,1281,10,0,7.7,25,125,4068087,17000000
Thirteen,3/18/2003,Color,Drama,English,USA,R,Holly Hunter,Catherine Hardwicke,1000,2186,308,0,6.8,126,100,4599680,1500000
Timeline,9/14/2003,Color,Action,English,USA,PG-13,Paul Walker,Richard Donner,23000,43887,503,0,5.6,123,116,19480739,80000000
Travelers and Magicians,5/30/2003,Color,Adventure,Dzongkha,Australia,,Tshewang Dendup,Khyentse Norbu,0,0,28,353,7.5,44,108,505295,1800000
Under the Tuscan Sun,7/16/2003,Color,Comedy,English,USA,PG-13,Raoul Bova,Audrey Wells,727,1310,22,0,6.7,111,113,43601508,18000000
Underworld,8/28/2003,Color,Action,English,UK,R,Sophia Myles,Len Wiseman,955,1777,235,0,7,226,133,51483949,22000000
Veronica Guerin,8/14/2003,Color,Biography,English,Ireland,R,Brenda Fricker,Joel Schumacher,214,409,541,0,6.9,106,98,1569918,17000000
What a Girl Wants,9/17/2003,Color,Comedy,English,USA,PG,Colin Firth,Dennie Gordon,14000,16400,29,0,5.8,66,105,35990505,20000000
Willard,4/27/2003,Color,Drama,English,Canada,PG-13,Laura Harring,Glen Morgan,669,1267,17,0,6.2,129,100,6852144,22000000
Wonderland,5/30/2003,Color,Crime,English,USA,R,Alexis Dziena,James Cox,715,1315,10,1000,6.6,91,104,1056102,5000000
Wrong Turn,10/10/2003,Color,Horror,English,USA,R,Kevin Zegers,Rob Schmidt,2000,3416,36,0,6.1,191,84,15417771,12600000
X-Men 2,11/16/2003,Color,Action,English,Canada,PG-13,Hugh Jackman,Bryan Singer,20000,20952,0,0,7.5,289,134,214948780,110000000
13 Going on 30,6/16/2004,Color,Comedy,English,USA,PG-13,Jennifer Garner,Gary Winick,3000,6742,56,0,6.1,119,98,56044241,37000000
2046,12/4/2004,Black and White,Drama,Cantonese,Hong Kong,R,Li Gong,Kar-Wai Wong,878,2378,0,0,7.5,194,129,261481,12000000
50 First Dates,6/20/2004,Color,Comedy,English,USA,PG-13,Adam Sandler,Peter Segal,11000,12952,88,11000,6.8,147,99,120776832,75000000
A Cinderella Story,6/16/2004,Color,Comedy,English,USA,PG,Dan Byrd,Mark Rosman,1000,3092,15,0,5.9,69,95,51431160,20000000
A Home at the End of the World,5/13/2004,Color,Drama,English,USA,R,Robin Wright,Michael Mayer,18000,21107,15,1000,6.8,84,97,1029017,6500000
A Very Long Engagement,2/4/2004,Color,Drama,French,France,R,Denis Lavant,Jean-Pierre Jeunet,226,405,0,0,7.7,186,133,6167817,47000000
After the Sunset,8/19/2004,Color,Action,English,USA,PG-13,Salma Hayek,Brett Ratner,4000,9814,420,782,6.3,117,97,28328132,58000000
Against the Ropes,3/26/2004,Color,Biography,English,USA,PG-13,Omar Epps,Charles S. Dutton,865,2972,534,177,5.3,76,110,5881504,39000000
Agent Cody Banks 2: Destination London,11/21/2004,Color,Action,English,USA,PG,Daniel Roebuck,Kevin Allen,1000,3742,8,167,4.5,55,100,23222861,26000000
Alexander,5/3/2004,Color,Action,English,Germany,R,Anthony Hopkins,Oliver Stone,12000,24598,0,0,5.5,248,206,34293771,155000000
Alfie,11/27/2004,Color,Comedy,English,UK,R,Omar Epps,Charles Shyer,865,3639,14,0,6.2,135,103,13395939,60000000
Along Came Polly,4/14/2004,Color,Comedy,English,USA,PG-13,Philip Seymour Hoffman,John Hamburg,22000,24534,29,0,5.9,108,90,87856565,42000000
Anacondas: The Hunt for the Blood Orchid,10/22/2004,Color,Action,English,USA,PG-13,Nicholas Gonzalez,Dwight H. Little,601,2730,27,686,4.6,94,97,31526393,25000000
Anchorman: The Legend of Ron Burgundy,5/22/2004,Color,Comedy,English,USA,PG-13,Darcy Donavan,Adam McKay,640000,656730,285,0,7.2,181,98,84136909,26000000
Around the World in 80 Days,2/3/2004,Color,Action,English,USA,PG,Jim Broadbent,Frank Coraci,1000,3175,153,0,5.8,188,120,24004159,110000000
As It Is in Heaven,5/10/2004,Color,Comedy,Swedish,Sweden,,Michael Nyqvist,Kay Pollak,690,774,10,0,7.6,34,133,9910,25000000
AVP: Alien vs. Predator,4/25/2004,Color,Action,English,USA,PG-13,Sanaa Lathan,Paul W.S. Anderson,886,3222,545,0,5.6,247,109,80281096,60000000
Barbershop 2: Back in Business,1/26/2004,Black and White,Comedy,English,USA,PG-13,Harry Lennix,Kevin Rodney Sullivan,748,3956,8,265,5.7,50,106,64955956,18000000
Before Sunset,11/23/2004,Color,Drama,English,USA,R,Vernon Dobtcheff,Richard Linklater,50,65,0,13000,8,211,80,5792822,2700000
Being Julia,6/30/2004,Color,Comedy,English,Canada,R,Miriam Margolyes,István Szabó,405,847,109,562,7.1,93,104,7739049,18000000
Beyond the Sea,1/7/2004,Black and White,Biography,English,USA,PG-13,Kevin Spacey,Kevin Spacey,18000,23689,18000,0,6.7,113,118,6144806,23000000
Birth,10/7/2004,Color,Drama,English,USA,R,Cameron Bright,Jonathan Glazer,829,2295,143,0,6.1,167,100,5005883,20000000
Blade: Trinity,12/15/2004,Color,Action,English,USA,R,Ryan Reynolds,David S. Goyer,16000,19764,687,0,5.9,185,122,52397389,65000000
Bride & Prejudice,5/17/2004,Color,Comedy,English,UK,PG-13,Indira Varma,Gurinder Chadha,729,2321,98,0,6.2,119,122,6601079,7000000
Bridget Jones: The Edge of Reason,5/27/2004,Color,Comedy,English,UK,R,Colin Firth,Beeban Kidron,14000,15634,17,0,5.9,143,108,40203020,40000000
Catch That Kid,10/19/2004,Color,Comedy,English,USA,PG,Kristen Stewart,Bart Freundlich,17000,18711,38,591,5.2,54,91,16702864,18000000
Catwoman,10/30/2004,Color,Action,English,USA,PG-13,Frances Conroy,Pitof,827,3144,26,0,3.3,212,87,40198710,100000000
Cellular,4/6/2004,Color,Action,English,USA,PG-13,Richard Burgi,David R. Ellis,550,1102,160,2000,6.5,127,94,32003620,25000000
Chasing Liberty,7/17/2004,Color,Comedy,English,USA,PG-13,Annabella Sciorra,Andy Cadiff,448,842,3,0,6.1,65,101,12189514,23000000
Christmas with the Kranks,9/17/2004,Color,Comedy,English,USA,PG,Jamie Lee Curtis,Joe Roth,2000,6729,148,0,5.2,105,99,73701902,60000000
Clean,10/30/2004,Color,Drama,French,France,R,Maggie Cheung,Olivier Assayas,576,776,107,171,6.9,81,110,136007,4500
Closer,10/1/2004,Color,Drama,English,USA,R,Natalie Portman,Mike Nichols,20000,28027,0,12000,7.3,212,98,33987757,27000000
Club Dread,8/18/2004,Color,Comedy,English,USA,R,Brittany Daniel,Jay Chandrasekhar,861,3306,422,713,5.6,66,119,4992159,8550000
Collateral,11/28/2004,Color,Crime,English,USA,R,Tom Cruise,Michael Mann,10000,13581,0,0,7.6,299,120,100003492,65000000
Confessions of a Teenage Drama Queen,10/20/2004,Color,Comedy,English,Germany,PG,Adam Garcia,Sara Sugarman,811,2167,10,810,4.6,74,89,29302097,15000000
Connie and Carla,9/23/2004,Color,Comedy,English,USA,PG-13,Debbie Reynolds,Michael Lembeck,786,2730,54,924,6.3,76,108,8054280,20000000
Crash,6/9/2004,Color,Crime,English,Germany,R,Don Cheadle,Paul Haggis,3000,5732,549,18000,7.9,287,115,54557348,6500000
D.E.B.S.,10/19/2004,Color,Action,English,USA,PG-13,Jordana Brewster,Angela Robinson,4000,6380,23,1000,5.3,50,91,96793,3500000
Dawn of the Dead,9/16/2004,Color,Action,English,USA,R,Ty Burrell,Zack Snyder,3000,10438,0,7000,7.4,287,110,58885635,26000000
Dead Man's Shoes,8/23/2004,Black and White,Crime,English,UK,,Paddy Considine,Shane Meadows,680,1311,222,0,7.7,99,90,6013,695393
Dear Wendy,1/26/2004,Color,Comedy,English,Italy,Unrated,Michael Angarano,Thomas Vinterberg,947,2572,346,532,6.6,100,102,23106,50000000
De-Lovely,6/2/2004,Black and White,Biography,English,USA,PG-13,Kevin McNally,Irwin Winkler,427,729,34,1000,6.6,119,125,13337299,20000000
District B13,10/26/2004,Color,Action,French,France,R,David Belle,Pierre Morel,510,962,180,0,7.2,141,84,1197786,12000000
Dodgeball: A True Underdog Story,6/10/2004,Black and White,Comedy,English,USA,PG-13,Gary Cole,Rawson Marshall Thurber,989,4730,43,0,6.7,191,92,114324072,20000000
Downfall,11/19/2004,Color,Biography,German,Germany,R,Thomas Kretschmann,Oliver Hirschbiegel,918,2334,101,14000,8.3,192,178,5501940,13500000
Ella Enchanted,12/1/2004,Color,Comedy,English,USA,PG,Anne Hathaway,Tommy O'Haver,11000,17292,13,0,6.3,89,96,22913677,35000000
Envy,4/29/2004,Color,Comedy,English,USA,PG-13,Amy Poehler,Barry Levinson,1000,1189,272,713,4.8,76,99,12181484,40000000
Eternal Sunshine of the Spotless Mind,10/13/2004,Color,Drama,English,USA,R,Kate Winslet,Michel Gondry,14000,19364,1000,52000,8.3,273,108,34126138,20000000
Eulogy,9/14/2004,Color,Comedy,English,USA,R,Zooey Deschanel,Michael Clancy,11000,14656,0,376,6.7,27,85,70527,6500000
EuroTrip,9/22/2004,Color,Comedy,English,USA,R,Matt Damon,Jeff Schaffer,13000,14180,17,0,6.6,92,93,17718223,25000000
Exorcist: The Beginning,1/11/2004,Color,Horror,English,USA,R,James D'Arcy,Renny Harlin,613,1970,212,893,5.1,167,125,41814863,50000000
Fahrenheit 9/11,9/19/2004,Color,Documentary,English,USA,R,Osama bin Laden,Michael Moore,503,1448,909,0,7.5,288,122,119078393,6000000
Fascination,3/4/2004,Color,Mystery,English,Germany,R,Adam Garcia,Klaus Menzel,811,1789,34,40,3.3,13,103,16066,5000000
Fat Albert,9/12/2004,Color,Comedy,English,USA,PG,Dania Ramirez,Joel Zwick,1000,4604,38,531,4.3,59,93,48114556,26000000
Fighting Tommy Riley,6/10/2004,Color,Drama,English,USA,R,Don Wallace,Eddie O'Flaherty,54,185,3,30,6.6,13,109,5199,200000
Finding Neverland,9/3/2004,Color,Biography,English,USA,PG,Johnny Depp,Marc Forster,40000,58823,395,0,7.8,226,101,51676606,25000000
Flight of the Phoenix,1/5/2004,Color,Action,English,USA,PG-13,Dennis Quaid,John Moore,2000,4397,212,1000,6.1,114,113,21009180,45000000
Garden State,4/11/2004,Color,Comedy,English,USA,R,Armando Riesco,Zach Braff,625,1655,0,0,7.6,205,102,26781723,2500000
Garfield,6/9/2004,Color,Animation,English,USA,PG,Bill Murray,Peter Hewitt,13000,13430,12,795,5,116,80,75367693,35000000
Godsend,6/14/2004,Color,Drama,English,USA,PG-13,Robert De Niro,Nick Hamm,22000,23352,6,387,4.8,130,102,14334645,25000000
Harold & Kumar Go to White Castle,2/7/2004,Color,Adventure,English,USA,R,Ethan Embry,Danny Leiner,982,3114,8,0,7.1,150,88,18225165,9000000
Harry Potter and the Prisoner of Azkaban,2/28/2004,Color,Adventure,English,UK,PG,Daniel Radcliffe,Alfonso Cuarón,11000,33284,0,11000,7.8,274,142,249358727,130000000
Hellboy,10/2/2004,Color,Action,English,USA,PG-13,James Babson,Guillermo del Toro,366,1112,0,0,6.8,242,132,59035104,66000000
Hidalgo,10/3/2004,Color,Action,English,USA,PG-13,J.K. Simmons,Joe Johnston,24000,36925,394,0,6.7,140,136,67286731,100000000
Home on the Range,1/29/2004,Color,Animation,English,USA,PG,Steve Buscemi,Will Finn,12000,13607,6,304,5.4,104,76,50026353,110000000
Hotel Rwanda,10/2/2004,Color,Drama,English,UK,PG-13,Don Cheadle,Terry George,3000,4142,83,12000,8.1,187,121,23472900,17500000
House of D,9/6/2004,Color,Comedy,English,USA,PG-13,Robin Williams,David Duchovny,49000,51441,0,857,7,46,96,371081,6000000
House of Flying Daggers,12/14/2004,Color,Action,Mandarin,China,PG-13,Takeshi Kaneshiro,Yimou Zhang,755,1244,611,0,7.6,248,119,11041228,100000000
Howl's Moving Castle,3/11/2004,Color,Adventure,Japanese,Japan,PG,Christian Bale,Hayao Miyazaki,23000,24263,6000,13000,8.2,212,119,4710455,24000000
I Heart Huckabees,12/27/2004,Color,Comedy,English,USA,R,Naomi Watts,David O. Russell,6000,8094,737,0,6.7,183,107,12784713,22000000
"I, Robot",12/16/2004,Color,Action,English,USA,PG-13,Will Smith,Alex Proyas,10000,12068,295,0,7.1,225,115,144795350,120000000
Imaginary Heroes,7/20/2004,Color,Comedy,English,USA,R,Kip Pardue,Dan Harris,374,768,24,345,7.3,73,111,228524,4000000
In Good Company,9/18/2004,Color,Comedy,English,USA,PG-13,Scarlett Johansson,Paul Weitz,19000,28493,80,736,6.5,157,109,45489752,26000000
Incident at Loch Ness,8/9/2004,Color,Adventure,English,UK,PG-13,Zak Penn,Zak Penn,87,256,87,400,6.6,60,94,36830,1400000
Jersey Girl,8/10/2004,Color,Comedy,English,USA,PG-13,Stephen Root,Kevin Smith,939,3592,0,0,6.2,164,102,25266129,35000000
Johnson Family Vacation,7/23/2004,Color,Comedy,English,USA,PG-13,Vanessa Williams,Christopher Erskin,1000,5006,4,243,4.3,45,97,31179516,12000000
Kill Bill: Vol. 2,6/30/2004,Black and White,Action,English,USA,R,Vivica A. Fox,Quentin Tarantino,890,1959,16000,0,8,304,137,66207920,30000000
Kinsey,6/30/2004,Black and White,Biography,English,USA,R,Liam Neeson,Bill Condon,14000,17490,386,0,7.1,188,118,10214647,11000000
Kung Fu Hustle,1/11/2004,Color,Action,Cantonese,Hong Kong,R,Shengyi Huang,Stephen Chow,264,537,0,0,7.8,377,99,17104669,20000000
Ladder 49,4/10/2004,Color,Action,English,USA,PG-13,Billy Burke,Jay Russell,2000,4496,13,0,6.5,125,115,74540762,55000000
Laws of Attraction,6/19/2004,Color,Comedy,English,Ireland,PG-13,Frances Fisher,Peter Howitt,638,961,29,702,5.9,90,90,17848322,28000000
Layer Cake,11/12/2004,Color,Crime,English,UK,R,Tom Hardy,Matthew Vaughn,27000,29277,905,0,7.4,149,105,2338695,4000000
Little Black Book,12/14/2004,Color,Comedy,English,USA,PG-13,Holly Hunter,Nick Hurran,1000,4369,34,484,5.2,73,105,20422207,35000000
Man on Fire,4/10/2004,Color,Action,English,USA,R,Denzel Washington,Tony Scott,18000,20454,12000,14000,7.7,171,146,77862546,70000000
Maria Full of Grace,8/16/2004,Color,Crime,Spanish,Colombia,R,Catalina Sandino Moreno,Joshua Marston,280,308,13,0,7.5,155,101,6517198,3000000
Mean Creek,9/12/2004,Color,Crime,English,USA,R,Rory Culkin,Jacob Aaron Estes,710,2655,9,1000,7.3,126,90,603943,500000
Mean Girls,4/21/2004,Color,Comedy,English,USA,PG-13,Tina Fey,Mark Waters,2000,5032,70,0,7,159,97,86049418,17000000
Meet the Fockers,10/25/2004,Color,Comedy,English,USA,PG-13,Robert De Niro,Jay Roach,22000,24938,116,0,6.3,141,106,279167575,80000000
Million Dollar Baby,8/1/2004,Color,Drama,English,USA,PG-13,Clint Eastwood,Clint Eastwood,16000,28830,16000,14000,8.1,268,132,100422786,30000000
Mindhunters,1/3/2004,Color,Crime,English,USA,R,LL Cool J,Renny Harlin,1000,4186,212,2000,6.4,127,101,4476235,27000000
Miracle,10/15/2004,Color,Biography,English,USA,PG,Eddie Cahill,Gavin O'Connor,639,1845,149,0,7.5,129,135,64371181,28000000
Mr 3000,8/16/2004,Color,Comedy,English,USA,PG-13,Bernie Mac,Charles Stone III,1000,4462,30,491,5.5,63,104,21800302,30000000
My Date with Drew,1/14/2004,Color,Documentary,English,USA,PG,John August,Jon Gunn,86,163,16,456,6.6,43,90,85222,1100
My Summer of Love,3/12/2004,Color,Drama,English,UK,R,Paddy Considine,Pawel Pawlikowski,680,763,84,869,6.8,124,86,992238,1700000
Napoleon Dynamite,2/16/2004,Color,Comedy,English,USA,PG,Jon Heder,Jared Hess,970,3950,100,0,6.9,220,92,44540956,400000
National Treasure,5/4/2004,Color,Action,English,USA,PG,Nicolas Cage,Jon Turteltaub,12000,13679,226,0,6.9,193,131,173005002,100000000
New York Minute,7/9/2004,Color,Comedy,English,USA,PG,Mary-Kate Olsen,Dennie Gordon,976,3974,29,849,4.8,70,91,14018364,30000000
Night Watch,4/8/2004,Color,Fantasy,Russian,Russia,R,Konstantin Khabenskiy,Timur Bekmambetov,114,206,335,0,6.5,232,104,1487477,4200000
November,4/10/2004,Color,Drama,English,USA,R,Amir Talai,Greg Harrison,308,1008,7,98,5.5,43,78,191309,150000
Ocean's Twelve,6/11/2004,Color,Crime,English,USA,PG-13,Brad Pitt,Steven Soderbergh,11000,19359,0,0,6.4,198,125,125531634,110000000
Paparazzi,12/6/2004,Color,Action,English,USA,PG-13,Cole Hauser,Paul Abascal,787,2915,2,269,5.8,77,84,15712072,20000000
Primer,2/10/2004,Color,Drama,English,USA,PG-13,Shane Carruth,Shane Carruth,291,368,291,19000,7,143,77,424760,7000
Raise Your Voice,4/8/2004,Color,Family,English,USA,PG,Oliver James,Sean McNamara,1000,4676,80,1000,5.9,46,103,10411980,15000000
Raising Helen,2/3/2004,Color,Comedy,English,USA,PG-13,Amber Valletta,Garry Marshall,627,2052,0,718,6,93,119,37486138,50000000
Ray,6/8/2004,Color,Biography,English,USA,PG-13,Bokeem Woodbine,Taylor Hackford,904,5074,138,0,7.7,209,178,75305995,40000000
Resident Evil: Apocalypse,10/18/2004,Color,Action,English,Germany,R,Milla Jovovich,Alexander Witt,14000,16791,38,0,6.2,191,98,50740078,45000000
Saint Ralph,1/23/2004,Color,Comedy,English,Canada,PG-13,Campbell Scott,Michael McGowan,393,955,12,989,7.6,47,98,795126,6000000
Saved!,3/4/2004,Color,Comedy,English,USA,PG-13,Macaulay Culkin,Brian Dannelly,3000,5668,12,0,6.9,121,92,8786715,5000000
Saw,5/20/2004,Color,Horror,English,USA,R,Michael Emerson,James Wan,2000,5161,0,0,7.7,287,103,55153403,1200000
Scooby-Doo 2: Monsters Unleashed,7/6/2004,Color,Adventure,English,USA,PG,Sarah Michelle Gellar,Raja Gosnell,4000,7800,67,567,4.9,94,93,84185387,80000000
Secret Window,12/9/2004,Color,Mystery,English,USA,PG-13,Johnny Depp,David Koepp,40000,41293,192,0,6.6,195,96,47781388,40000000
Seed of Chucky,12/14/2004,Color,Comedy,English,Romania,R,Jason Flemyng,Don Mancini,1000,2567,64,0,4.9,148,88,17016190,12000000
Shall We Dance,4/8/2004,Color,Comedy,English,USA,PG-13,Lisa Ann Walter,Peter Chelsom,1000,2325,23,0,6.1,118,106,57887882,50000000
Shark Tale,7/3/2004,Color,Adventure,English,USA,PG,Robert De Niro,Bibo Bergeron,22000,63165,10,0,6,143,90,160762022,75000000
Shaun of the Dead,4/8/2004,Color,Comedy,English,UK,R,Peter Serafinowicz,Edgar Wright,605,1686,1000,19000,8,246,99,13464388,4000000
Short Cut to Nirvana: Kumbh Mela,1/1/2004,Color,Documentary,English,USA,Unrated,The Dalai Lama,Maurizio Benazzo,66,66,0,30,7.2,15,85,381225,200000
Shrek 2,3/30/2004,Color,Adventure,English,USA,PG,Rupert Everett,Andrew Adamson,692,1148,80,0,7.2,205,93,436471036,150000000
Sideways,11/15/2004,Color,Adventure,English,USA,R,Virginia Madsen,Alexander Payne,912,2170,729,0,7.5,285,126,71502303,12000000
Sky Captain and the World of Tomorrow,12/2/2004,Color,Action,English,USA,PG,Angelina Jolie Pitt,Kerry Conran,11000,12871,14,0,6.1,197,106,37760080,70000000
Sleepover,6/13/2004,Color,Comedy,English,USA,PG,Steve Carell,Joe Nussbaum,7000,13626,18,0,5.3,52,89,8070311,10000000
Soul Plane,6/15/2004,Color,Comedy,English,USA,R,Mo'Nique,Jessy Terrero,939,3935,29,0,4.4,75,92,13922211,16000000
Spanglish,12/28/2004,Color,Comedy,English,USA,PG-13,Adam Sandler,James L. Brooks,11000,12522,274,0,6.5,124,131,42044321,80000000
Spider-Man 2,6/23/2004,Color,Action,English,USA,PG-13,J.K. Simmons,Sam Raimi,24000,43388,0,0,7.3,300,135,373377893,200000000
Starsky & Hutch,1/25/2004,Color,Comedy,English,USA,PG-13,Snoop Dogg,Todd Phillips,881,3943,480,0,6.1,173,101,88200225,60000000
Steamboy,5/5/2004,Color,Action,Japanese,Japan,PG-13,William Hootkins,Katsuhiro Ôtomo,488,991,78,973,6.9,105,103,410388,2127519898
Summer Storm,7/18/2004,Color,Comedy,German,Germany,R,Alicja Bachleda,Marco Kreuzpaintner,289,362,7,442,7.4,40,98,95016,2700000
Super Size Me,7/15/2004,Color,Comedy,English,USA,PG,Chemeeka Walker,Morgan Spurlock,0,0,293,0,7.3,193,100,11529368,65000
Superbabies: Baby Geniuses 2,1/11/2004,Color,Comedy,English,Germany,PG,Scott Baio,Bob Clark,650,1343,84,0,1.9,32,88,9109322,20000000
Suspect Zero,3/17/2004,Color,Crime,English,USA,R,Harry Lennix,E. Elias Merhige,748,1721,54,817,5.9,101,99,8712564,27000000
Tae Guk Gi: The Brotherhood of War,2/18/2004,Color,Action,Korean,South Korea,R,Min-sik Choi,Je-kyu Kang,717,1730,16,0,8.1,86,148,1110186,12800000
Teacher's Pet,4/24/2004,Color,Animation,English,USA,PG,Nathan Lane,Timothy Björklund,886,5139,0,49,5.8,33,74,6491350,10000000
Team America: World Police,2/16/2004,Color,Action,English,USA,R,Jeremy Shada,Trey Parker,860,2609,406,0,7.2,233,98,32774834,30000000
The Alamo,12/17/2004,Color,Drama,English,USA,PG-13,Dennis Quaid,John Lee Hancock,2000,5780,102,701,6,106,137,22406362,107000000
The Aviator,8/30/2004,Black and White,Biography,English,USA,PG-13,Leonardo DiCaprio,Martin Scorsese,29000,34582,17000,0,7.5,267,170,102608827,110000000
The Big Bounce,9/4/2004,Color,Comedy,English,USA,PG-13,Morgan Freeman,George Armitage,11000,11972,5,288,4.9,75,88,6471394,50000000
The Bourne Supremacy,4/3/2004,Color,Action,English,USA,PG-13,Matt Damon,Paul Greengrass,13000,14161,521,0,7.8,239,108,176049130,75000000
The Bridge of San Luis Rey,9/11/2004,Color,Drama,English,UK,PG,Robert De Niro,Mary McGuckian,22000,23769,6,181,5.1,16,120,42880,24000000
The Butterfly Effect,12/26/2004,Color,Sci-Fi,English,USA,R,Logan Lerman,Eric Bress,8000,12755,19,15000,7.7,185,120,23947,13000000
The Chorus,4/8/2004,Color,Drama,French,France,PG-13,Jean-Baptiste Maunier,Christophe Barratier,517,745,25,0,7.9,112,97,3629758,5500000
The Chronicles of Riddick,6/25/2004,Color,Action,English,USA,PG-13,Vin Diesel,David Twohy,14000,17159,123,0,6.7,207,134,57637485,105000000
The Day After Tomorrow,1/25/2004,Color,Action,English,USA,PG-13,Jake Gyllenhaal,Roland Emmerich,15000,20553,776,19000,6.4,239,124,186739919,125000000
The Girl Next Door,10/28/2004,Color,Comedy,English,USA,R,Chris Marquette,Luke Greenfield,355,911,42,0,6.8,126,110,14589444,25000000
The Grudge,6/21/2004,Color,Horror,English,USA,PG-13,Sarah Michelle Gellar,Takashi Shimizu,4000,7461,70,4000,5.9,203,98,110175871,10000000
The Holy Girl,12/10/2004,Color,Drama,Spanish,Argentina,R,Mía Maestro,Lucrecia Martel,341,358,33,57,6.7,78,106,304124,1400000
The Incredibles,7/19/2004,Color,Action,English,USA,PG,Holly Hunter,Brad Bird,1000,1901,663,0,8,283,115,261437578,92000000
The Ladykillers,4/7/2004,Color,Comedy,English,USA,R,J.K. Simmons,Ethan Coen,24000,41701,1000,0,6.2,193,104,39692139,35000000
The Life Aquatic with Steve Zissou,11/12/2004,Color,Adventure,English,USA,R,Bill Murray,Wes Anderson,13000,15757,0,0,7.3,259,119,24006726,50000000
The Machinist,4/1/2004,Color,Drama,English,Spain,R,Christian Bale,Brad Anderson,23000,24994,122,21000,7.7,204,94,1082044,5000000
The Manchurian Candidate,4/22/2004,Color,Drama,English,USA,R,Denzel Washington,Jonathan Demme,18000,20056,438,0,6.6,209,129,65948711,80000000
The Merchant of Venice,3/13/2004,Color,Drama,English,USA,R,Al Pacino,Michael Radford,14000,16252,53,0,7.1,117,131,3752725,18000000
The Notebook,9/9/2004,Color,Drama,English,USA,PG-13,Ryan Gosling,Nick Cassavetes,33000,34495,415,57000,7.9,177,123,64286,29000000
The Passion of the Christ,12/17/2004,Color,Drama,Aramaic,USA,R,Christo Jivkov,Mel Gibson,260,705,0,13000,7.1,406,120,499263,30000000
The Phantom of the Opera,12/15/2004,Black and White,Drama,English,UK,PG-13,Gerard Butler,Joel Schumacher,18000,20660,541,0,7.4,153,143,51225796,70000000
The Polar Express,3/20/2004,Color,Adventure,English,USA,G,Tom Hanks,Robert Zemeckis,15000,16264,0,10000,6.6,188,100,665426,165000000
The Princess Diaries 2: Royal Engagement,8/17/2004,Color,Comedy,English,USA,G,Anne Hathaway,Garry Marshall,11000,15362,0,1000,5.7,77,113,95149435,40000000
The Punisher,9/24/2004,Color,Action,English,USA,R,Laura Harring,Jonathan Hensleigh,669,2114,36,4000,6.5,192,140,33682273,33000000
The Sea Inside,12/27/2004,Color,Biography,Spanish,Spain,PG-13,Belén Rueda,Alejandro Amenábar,273,529,448,0,8.1,157,125,2086345,10000000
The SpongeBob SquarePants Movie,7/28/2004,Color,Adventure,English,USA,PG,Scarlett Johansson,Stephen Hillenburg,19000,20097,47,0,7,89,87,85416609,30000000
The Stepford Wives,3/8/2004,Color,Comedy,English,USA,PG-13,Jon Lovitz,Frank Oz,11000,13748,0,0,5.2,169,93,59475623,90000000
The Terminal,5/2/2004,Color,Comedy,English,USA,PG-13,Tom Hanks,Steven Spielberg,15000,16199,14000,16000,7.3,151,128,77032279,60000000
The Village,11/24/2004,Color,Drama,English,USA,PG-13,Bryce Dallas Howard,M. Night Shyamalan,3000,7273,0,0,6.5,261,108,114195633,60000000
The Whole Ten Yards,8/5/2004,Color,Comedy,English,USA,PG-13,Bruce Willis,Howard Deutch,13000,18085,41,462,5.5,74,98,16323969,40000000
The Work and the Glory,5/27/2004,Color,Drama,English,USA,PG,Eric Johnson,Russell Holt,373,1233,0,31,6.9,6,118,3347439,7500000
Thunderbirds,6/26/2004,Color,Action,English,UK,PG,Sophia Myles,Jonathan Frakes,956,2260,906,437,4.2,76,95,6768055,57000000
Torque,2/12/2004,Color,Action,English,USA,PG-13,Dane Cook,Joseph Kahn,1000,5039,33,0,4,86,84,21176322,40000000
Troy,11/2/2004,Color,Adventure,English,USA,R,Brad Pitt,Wolfgang Petersen,11000,17944,249,0,7.2,220,196,133228348,175000000
Two Brothers,1/19/2004,Color,Adventure,English,France,PG,David Gant,Jean-Jacques Annaud,21,55,218,2000,7.1,88,109,18947630,59660000
Vanity Fair,8/10/2004,Color,Drama,English,USA,PG-13,Romola Garai,Mira Nair,805,1618,300,767,6.2,118,141,16123851,23000000
Veer-Zaara,7/12/2004,Color,Drama,Hindi,India,,Shah Rukh Khan,Yash Chopra,8000,9984,147,2000,7.9,29,192,2921738,7000000
Vera Drake,6/25/2004,Color,Crime,English,UK,R,Eddie Marsan,Mike Leigh,979,3133,608,0,7.7,169,125,3753806,11000000
Walking Tall,8/17/2004,Color,Action,English,USA,PG-13,Dwayne Johnson,Kevin Bray,12000,14146,10,0,6.2,117,86,45860039,56000000
